movieId,tmdbId,title_links
1,862,Toy Story
10,710,GoldenEye
11,9087,The American President
14,10858,Nixon
15,1408,Cutthroat Island
16,524,Casino
17,4584,Sense and Sensibility
18,5,Four Rooms
19,9273,Ace Ventura: When Nature Calls
20,11517,Money Train
21,8012,Get Shorty
22,1710,Copycat
23,9691,Assassins
25,451,Leaving Las Vegas
34,9598,Babe
36,687,Dead Man Walking
39,9603,Clueless
41,31174,Richard III
44,9312,Mortal Kombat
45,577,To Die For
47,807,Seven (a.k.a. Se7en)
48,10530,Pocahontas
50,629,The Usual Suspects
57,9089,Home for the Holidays
60,11359,The Indian in the Cupboard
61,17182,Eye for an Eye
62,2054,Mr. Holland's Opus
69,10634,Friday
70,755,From Dusk Till Dawn
79,9623,The Juror
81,400,Things to Do in Denver When You're Dead
86,10534,White Squall
92,9095,Mary Reilly
93,12158,Vampire in Brooklyn
95,9208,Broken Arrow
100,11062,City Hall
101,13685,Bottle Rocket
104,9614,Happy Gilmore
105,688,The Bridges of Madison County
110,197,Braveheart
111,103,Taxi Driver
112,33542,Rumble in the Bronx (Hont faan kui)
122,11066,Boomerang
125,2074,Flirting With Disaster
132,11863,Jade
140,9302,Up Close and Personal
144,16388,The Brothers McMullen
145,9737,Bad Boys
150,568,Apollo 13
151,11780,Rob Roy
153,414,Batman Forever
158,8839,Casper
160,10329,Congo
161,8963,Crimson Tide
163,8068,Desperado
165,1572,Die Hard: With a Vengeance
168,6520,First Knight
170,10428,Hackers
175,9344,Kids
180,2293,Mallrats
185,1642,The Net
188,11980,The Prophecy
191,10533,The Scarlet Letter
193,10802,Showgirls
196,9348,Species
204,3512,Under Siege 2: Dark Territory
208,9804,Waterworld
215,76,Before Sunrise
223,2292,Clerks
224,1909,Don Juan DeMarco
225,8984,Disclosure
231,8467,Dumb & Dumber (Dumb and Dumber)
233,20156,Exotica
235,522,Ed Wood
246,14275,Hoop Dreams
247,1024,Heavenly Creatures
253,628,Interview with the Vampire: The Vampire Chronicles
254,87729,Jefferson in Paris
255,18713,The Jerky Boys
259,6071,Kiss of Death
260,11,Star Wars: Episode IV - A New Hope
261,9587,Little Women
266,4476,Legends of the Fall
292,6950,Outbreak
294,63020,The Perez Family
296,680,Pulp Fiction
303,12106,The Quick and the Dead
315,2636,The Specialist
317,11395,The Santa Clause
318,278,The Shawshank Redemption
327,9067,Tank Girl
328,9059,Tales from the Crypt Presents: Demon Knight
329,193,Star Trek: Generations
330,25066,Tales from the Hood
337,1587,What's Eating Gilbert Grape
338,9271,Virtuosity
344,3049,Ace Ventura: Pet Detective
348,11382,Bullets Over Broadway
349,9331,Clear and Present Danger
350,10731,The Client
352,34152,Crooklyn
353,9495,The Crow
355,888,The Flintstones
356,13,Forrest Gump
357,712,Four Weddings and a Funeral
364,8587,The Lion King
366,11596,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
367,854,The Mask
370,36593,Naked Gun 33 1/3: The Final Insult
374,11011,Richie Rich
376,8987,The River Wild
